WARNING 	 2018-03-24 08:49:43,735 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/files/stat.gov.kz/legal_entity/24.03.18/zip/27 file from http://stat.gov.kz/getImg?id=ESTAT086122 unexpected extension
INFO 	 2018-03-24 08:50:37,714 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/31 was downloaded
INFO 	 2018-03-24 08:51:10,467 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/35 was downloaded
INFO 	 2018-03-24 08:52:01,564 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/39 was downloaded
INFO 	 2018-03-24 08:52:23,601 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/43 was downloaded
INFO 	 2018-03-24 08:52:51,427 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/47 was downloaded
INFO 	 2018-03-24 08:53:55,046 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/51 was downloaded
INFO 	 2018-03-24 08:54:08,446 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/55 was downloaded
INFO 	 2018-03-24 08:54:08,830 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/ESTAT086130 was downloaded
WARNING 	 2018-03-24 08:54:08,830 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/ESTAT086130.xml file from http://stat.gov.kz/getImg?id=ESTAT086130 unexpected extension
INFO 	 2018-03-24 08:54:44,251 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/59 was downloaded
INFO 	 2018-03-24 08:55:34,859 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/63 was downloaded
INFO 	 2018-03-24 08:57:11,667 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/71 was downloaded
INFO 	 2018-03-24 08:58:42,445 	 stat_list 	 files/stat.gov.kz/legal_entity/24.03.18/zip/75 was downloaded
